Address,AddrCoor,latitude,Longitude
3000 S. Stoughton Road,"3000 S Stoughton Rd, Madison, Wisconsin, 53716",43.05591110925295,-89.30934141814375
1400 block Theresa Terrace,"1400 Theresa Ter, Madison, Wisconsin, 53711",43.03805217145396,-89.48989384630529
1720 Monroe St.,"1720 Monroe St, Madison, Wisconsin, 53711",43.06567170886944,-89.41602762228042
4602 East Towne Blvd.,"4602 East Towne Blvd, Madison, Wisconsin, 53704",43.12862181490546,-89.30525630200795
West Beltline Highway,"W Beltline Hwy, Madison, Wisconsin, 53719",43.04643516224113,-89.47368100226728
89 East Towne Mall,"89 E Towne Mall, Madison, Wisconsin, 53704",43.122401482392526,-89.30416306498046
600 block State St.,"600 State St, Madison, Wisconsin, 53703",43.07491608069922,-89.39520630134281
4800 block Hayes Rd.,"4800 Hayes Rd, Madison, Wisconsin, 53704",43.138319842880385,-89.3001329061287
23 N. Pinckney St.,"23 N Pinckney St, Madison, Wisconsin, 53703",43.07610064475723,-89.38381140311056
810 E. Washington Ave.,"810 E Washington Ave, Madison, Wisconsin, 53703",43.08169673373859,-89.37448165538133
E. Buckey Rd.,"E Buckeye Rd, Madison, Wisconsin, 53718",43.07475600000001,-89.26743119170132
4 Collins Court,"4 Collins Ct, Madison, Wisconsin, 53716",43.04732510101573,-89.3049343901548
S. Gammon Rd.,"S Gammon Rd, Madison, Wisconsin, 53719",43.05835678011036,-89.50293355999703
2000 block Monroe St.,"2000 Monroe St, Madison, Wisconsin, 53711",43.063708015624194,-89.41905220153916
200 block Clyde Gallagher,"200 Clyde Gallagher Ave, Madison, Wisconsin, 53704",43.10137913979072,-89.3392267795814
3620 Marsh Rd,"3620 Marsh Rd, Madison, Wisconsin, 53718",43.0458958709389,-89.28675158598247
201 S. Gammon Rd.,"201 S Gammon Rd, Madison, Wisconsin, 53717",43.06449880821169,-89.5025428772305
2300 block Cypress Way,"2300 Cypress Way, Madison, Wisconsin, 53713",43.04074705050377,-89.3973630980103
2000 block S. Park St.,"2000 Park St, Middleton, Wisconsin, 53562",43.097144571832615,-89.50173857584525
4513 Milwaukee Street,"4513 Milwaukee St, Madison, Wisconsin, 53714",43.09873648788189,-89.30503125284207
Ellis Potter Court,"Ellis Potter Ct, Madison, Wisconsin, 53711",43.046972999999994,-89.48664
4500 block East Towne Blvd.,"4500 East Towne Blvd, Madison, Wisconsin, 53704",43.12741259287874,-89.30738033225609
1400 Block of Northport Dr.,"1400 Northport Dr, Madison, Wisconsin, 53704",43.13491398886775,-89.37305017876383
4649 Verona Rd.,"4649 Verona Rd, Madison, Wisconsin, 53711",43.033328788678666,-89.45644476210425
Verona Rd.,"Verona Rd, Madison, Wisconsin, 53711",43.02896953593334,-89.4636627600276
7416 Mineral Point Rd.,"7416 Mineral Point Rd, Madison, Wisconsin, 53717",43.06070446104767,-89.51105194463038
2831 E. Washington Ave.,"2831 E Washington Ave, Madison, Wisconsin, 53704",43.10244062138638,-89.34592043432994
3200 block Progress Rd.,"3200 Progress Rd, Madison, Wisconsin, 53716",43.05258939930724,-89.30427881298804
6100 block Strathmore Lane,"6100 Strathmore Ln, Madison, Wisconsin, 53711",43.045845190562524,-89.48605219056252
201 W. Mifflin St.,"201 W Mifflin St, Madison, Wisconsin, 53703",43.07374140048484,-89.38774604244345
123 E. Doty St.,"123 E Doty St, Madison, Wisconsin, 53703",43.07446383123676,-89.38032980180638
5606 Russett Rd.,"5606 Russett Rd, Madison, Wisconsin, 53711",43.03300145946021,-89.47536019747245
500 block North St.,"500 North St, Madison, Wisconsin, 53704",43.10499989779352,-89.35128690882601
